tegdma,h (um),noz,sub,vf (mm/s),column,dep var,index,vs (mm/s),Period (s),StdEr period (s),Period (mm),StdEr period (mm),Top value,StdEr top value,Bot value,StdEr bot value,Amplitude,StdEr amplitude
25,150,FDTS,film,1.5,7,up left noz dist (mm),8,6.5,0.37457144054653213,0.07108549235336023,2.434714363552459,0.4620557002968415,0.11430462648790675,0.0013772438413948741,0.03925413353105549,0.004119348213077674,0.07403258864322376,0.004348470589590049
25,150,FDTS,film,1.5,8,up left sub dist (mm),8,6.5,0.37457144054656055,0.038779368320110925,2.4347143635526436,0.252065894080721,0.024780868737896082,0.000681723860220112,0.07830190687789981,0.004000815196841764,0.05167119545968962,0.003825051173084968
25,150,FDTS,film,1.5,9,up left Si dist (mm),8,6.5,0.37457144054654634,0.05407867858531258,2.434714363552551,0.3515114108045318,0.3454356834999719,0.010923971825465659,-0.10283075666964116,0.011179400781418474,0.42996985077493494,0.018223839248136253
25,150,FDTS,film,1.5,10,up mid noz dist (mm),8,6.5,0.37457144054653213,0.019015973660295882,2.434714363552459,0.12360382879192323,0.0957928672887771,0.0016468560131031103,0.12920439631002045,0.0015358494483314479,0.034332353975695874,0.0011591584612630575
25,150,FDTS,film,1.5,11,up mid sub dist (mm),8,6.5,0.37457144054654634,0.02761033796142364,2.434714363552551,0.17946719674925365,0.055555000913525755,0.0009359510479359021,0.01827592651610876,0.0009154397151300076,0.03482528995663009,0.001328635341525619
25,150,FDTS,film,1.5,12,up mid Si dist (mm),8,6.5,0.40762186177123283,0.050309553328741326,2.6495421015130134,0.3270120966368186,0.4323444831246928,0.0037736990646405747,0.5329757247954222,0.005919803172717019,0.09605709432206,0.005346763873817484
25,150,FDTS,film,1.5,13,down right noz dist (mm),8,6.5,0.35253782639674114,0.02787279017531823,2.2914958715788174,0.1811731361395685,0.06852244822206126,0.0013901284842078084,0.00828403949646666,0.001129867155747962,0.061597141838769826,0.0018775313865187343
25,150,FDTS,film,1.5,14,down right sub dist (mm),8,6.5,0.3966050546963231,0.1346471645080458,2.5779328555261003,0.8752065693022978,0.18848887213702242,0.0027856395598781225,0.05493538001251237,0.004918029209242205,0.12917610044003752,0.005046165830427915
25,150,FDTS,film,1.5,15,down right Si dist (mm),8,6.5,0.36355463347163663,0.04150453007557187,2.363105117565638,0.2697794454912172,-0.10216551553739397,0.002407730135802793,-0.17689196110891375,0.0064184389402869,0.07749097234725111,0.005615907522907649
25,150,FDTS,film,1.5,16,down left noz dist (mm),8,6.5,0.7271092669433017,0.15041865755102043,4.726210235131461,0.9777212740816328,0.021581816018916546,0.004853555636803344,0.08375774948307352,0.0029754498295038105,0.0634796604159854,0.0050289486074082766
25,150,FDTS,film,1.5,17,down left sub dist (mm),8,6.5,1.1457479357894158,0.6042640291468363,7.447361582631203,3.927716189454436,0.0022434123321444814,0.00557796178716253,0.07569146033691078,0.01555133595083736,0.0618582788370762,0.013632184279159198
25,150,FDTS,film,1.5,18,down left Si dist (mm),8,6.5,0.5618571608198124,0.12085280582936818,3.6520715453287806,0.7855432378908932,-0.4666949154243968,0.07020571257760218,-1.3769502378096314,0.1131715936895162,0.9996706402198186,0.09024027730136097
25,150,FDTS,film,1.5,19,down mid noz dist (mm),8,6.5,0.37457144054656055,0.022609315866720128,2.4347143635526436,0.14696055313368084,0.09082053645490712,0.002443348535661366,0.006568627469389046,0.0009223978474528764,0.08577278096486828,0.0025014313606836233
25,150,FDTS,film,1.5,20,down mid sub dist (mm),8,6.5,0.37457144054653213,0.020595196958894526,2.434714363552459,0.13386878023281443,0.0035798071796511954,0.0012392731182976973,0.08717321734454646,0.0034837024592985974,0.081668340624679,0.0030949905492890393
25,150,FDTS,film,1.5,21,down mid Si dist (mm),8,6.5,0.36355463347165085,0.027101258893708943,2.3631051175657305,0.17615818280910814,-0.08706552110992291,0.022462740811318486,-1.1321067919029473,0.026013162053650604,1.0455211932589494,0.025790898676920727
25,150,FDTS,film,1.5,22,up right outer radius (mm),8,6.5,0.35253782639674114,0.02559592567811555,2.2914958715788174,0.16637351690775107,-0.6820476894602707,0.02071925632470576,-0.3394208927606384,0.018305101919617813,0.2647923082228595,0.021981472303185447
25,150,FDTS,film,1.5,23,up right inner radius (mm),8,6.5,,,,,0.17730495072448135,0.00006936986169326745,,,,
25,150,FDTS,film,1.5,24,up right Laplace pressure (Pa),8,6.5,0.40762186177124704,0.05897783709561158,2.6495421015131058,0.38335594112147525,162.81238710088036,2.6814470259518095,136.96068717624664,3.9434402147310528,28.707310680496448,2.220501441359455
